"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"257","19:41:35","10.0.2.3","10.0.2.15","UDP","97","53","60967","N/A","0x00","26031"
"258","19:41:35","10.0.2.15","10.0.2.3","UDP","86","60967","53","N/A","0x00","54885"
"259","19:41:35","10.0.2.3","10.0.2.15","UDP","86","53","60967","N/A","0x00","26032"
"260","19:41:35","10.0.2.15","148.211.120.175","TCP","54","40276","443","ACK","0x00","9102"
"261","19:41:35","10.0.2.15","148.211.120.175","TCP","54","40304","443","ACK","0x00","58183"
"262","19:41:35","10.0.2.15","148.211.120.175","TCP","54","40330","443","ACK","0x00","39264"
"263","19:41:35","10.0.2.15","148.211.120.175","TCP","54","40280","443","ACK","0x00","16562"
"264","19:41:35","10.0.2.15","148.211.120.175","TCP","54","40296","443","ACK","0x00","46710"
"265","19:41:35","148.211.120.175","10.0.2.15","TCP","60","443","40276","ACK","0x00","26033"
"266","19:41:35","148.211.120.175","10.0.2.15","TCP","60","443","40304","ACK","0x00","26034"
"267","19:41:35","148.211.120.175","10.0.2.15","TCP","60","443","40330","ACK","0x00","26035"
"268","19:41:35","148.211.120.175","10.0.2.15","TCP","60","443","40280","ACK","0x00","26036"
"269","19:41:35","148.211.120.175","10.0.2.15","TCP","60","443","40296","ACK","0x00","26037"
"270","19:41:36","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","20215"
"271","19:41:36","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26038"
"272","19:41:36","10.0.2.15","10.0.2.3","UDP","97","49526","53","N/A","0x00","5799"
"273","19:41:36","10.0.2.3","10.0.2.15","UDP","97","53","49526","N/A","0x00","26039"
"274","19:41:36","10.0.2.15","10.0.2.3","UDP","86","49526","53","N/A","0x00","5800"
"275","19:41:36","10.0.2.3","10.0.2.15","UDP","86","53","49526","N/A","0x00","26040"
"276","19:41:37","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","20857"
"277","19:41:37","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26041"
"278","19:41:37","10.0.2.15","10.0.2.3","UDP","97","60366","53","N/A","0x00","64332"
"279","19:41:37","10.0.2.3","10.0.2.15","UDP","97","53","60366","N/A","0x00","26042"
"280","19:41:37","10.0.2.15","10.0.2.3","UDP","86","60366","53","N/A","0x00","64333"
"281","19:41:37","10.0.2.3","10.0.2.15","UDP","86","53","60366","N/A","0x00","26043"
"282","19:41:38","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","21750"
"283","19:41:38","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26044"
"284","19:41:38","10.0.2.15","10.0.2.3","UDP","97","56821","53","N/A","0x00","17875"
"285","19:41:38","10.0.2.3","10.0.2.15","UDP","97","53","56821","N/A","0x00","26045"
"286","19:41:38","10.0.2.15","10.0.2.3","UDP","86","56821","53","N/A","0x00","17876"
"287","19:41:38","10.0.2.3","10.0.2.15","UDP","86","53","56821","N/A","0x00","26046"
"288","19:41:39","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","22061"
"289","19:41:39","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26047"
